government,department,programme,subprogramme,financial_year,budget_phase,value
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",Policy,2019,Medium Term Estimates,7030000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",Policy,2020,Medium Term Estimates,7583000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",PLANNING,2018,Main appropriation,5790000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",PLANNING,2019,Medium Term Estimates,6082000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",PLANNING,2020,Medium Term Estimates,6520000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",RESEARCH,2018,Main appropriation,5477000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",RESEARCH,2019,Medium Term Estimates,5724000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",RESEARCH,2020,Medium Term Estimates,6136000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Corporate Services,2018,Main appropriation,259044448.610717
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Corporate Services,2019,Medium Term Estimates,257245000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Corporate Services,2020,Medium Term Estimates,272621000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Office of the MEC,2018,Main appropriation,10257850.9667938
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Office of the MEC,2019,Medium Term Estimates,8529000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Office of the MEC,2020,Medium Term Estimates,9008000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Disaster Management,2018,Main appropriation,26862071.454294
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Disaster Management,2019,Medium Term Estimates,25440000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Disaster Management,2020,Medium Term Estimates,21563000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,IDP Co-ordination,2018,Main appropriation,5974986.15048085
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,IDP Co-ordination,2019,Medium Term Estimates,7463000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,IDP Co-ordination,2020,Medium Term Estimates,7874000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Land Use Management,2018,Main appropriation,20040892.6301198
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Land Use Management,2019,Medium Term Estimates,29895000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Land Use Management,2020,Medium Term Estimates,31538000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Local Economic Development (LED),2018,Main appropriation,25409475.2754617
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Local Economic Development (LED),2019,Medium Term Estimates,25595000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Local Economic Development (LED),2020,Medium Term Estimates,27001000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Municipal Infrastructure,2018,Main appropriation,22497238.1821958
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Municipal Infrastructure,2019,Medium Term Estimates,29437000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Municipal Infrastructure,2020,Medium Term Estimates,31056000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Spatial Planning,2018,Main appropriation,13933715.241149701
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Spatial Planning,2019,Medium Term Estimates,19704000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Spatial Planning,2020,Medium Term Estimates,20787000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Administration of House of Traditional Leaders,2018,Main appropriation,24138082.549746
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Administration of House of Traditional Leaders,2019,Medium Term Estimates,15601000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Administration of House of Traditional Leaders,2020,Medium Term Estimates,16458000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,2018,Main appropriation,10791667.927021101
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,2019,Medium Term Estimates,11441000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,2020,Medium Term Estimates,12071000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Capacity Development,2018,Main appropriation,7511845.3572824905
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Capacity Development,2019,Medium Term Estimates,8767000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Capacity Development,2020,Medium Term Estimates,9249000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Administration,2018,Main appropriation,25347497.1263833
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Administration,2019,Medium Term Estimates,34559000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Administration,2020,Medium Term Estimates,40634000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Finance,2018,Main appropriation,31022091.020246897
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Finance,2019,Medium Term Estimates,17172000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Finance,2020,Medium Term Estimates,18116000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",2018,Main appropriation,13931802.6644378
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",2019,Medium Term Estimates,33882000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",2020,Medium Term Estimates,35746000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Public Participation,2018,Main appropriation,164662080.140692
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Public Participation,2019,Medium Term Estimates,149148000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Public Participation,2020,Medium Term Estimates,166219000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Rural Development Facilitation,2018,Main appropriation,11894629.6654535
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Rural Development Facilitation,2019,Medium Term Estimates,13956000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Rural Development Facilitation,2020,Medium Term Estimates,14723000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Institutional Administration,2018,Main appropriation,17977628.897541597
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Institutional Administration,2019,Medium Term Estimates,25261000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Institutional Administration,2020,Medium Term Estimates,26650000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Resource Administration,2018,Main appropriation,292502094.143525
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Resource Administration,2019,Medium Term Estimates,315381000.0
Eastern Cape,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Resource Administration,2020,Medium Term Estimates,342933000.0
Eastern Cape,Office Of The Premier,Administration,Corporate Management,2018,Main appropriation,77489324.0
Eastern Cape,Office Of The Premier,Administration,Corporate Management,2019,Medium Term Estimates,76016000.0
Eastern Cape,Office Of The Premier,Administration,Corporate Management,2020,Medium Term Estimates,65046360.0
Eastern Cape,Office Of The Premier,Administration,Director General Support,2018,Main appropriation,222410000.0
Eastern Cape,Office Of The Premier,Administration,Director General Support,2019,Medium Term Estimates,229456000.0
Eastern Cape,Office Of The Premier,Administration,Director General Support,2020,Medium Term Estimates,236095510.0
Eastern Cape,Office Of The Premier,Administration,Financial Management,2018,Main appropriation,50926000.0
Eastern Cape,Office Of The Premier,Administration,Financial Management,2019,Medium Term Estimates,64632080.0
Eastern Cape,Office Of The Premier,Administration,Financial Management,2020,Medium Term Estimates,73622495.2
Eastern Cape,Office Of The Premier,Administration,Premier Support,2018,Main appropriation,15115634.0
Eastern Cape,Office Of The Premier,Administration,Premier Support,2019,Medium Term Estimates,15963000.0
Eastern Cape,Office Of The Premier,Administration,Premier Support,2020,Medium Term Estimates,16981595.0
Eastern Cape,Office Of The Premier,Administration,Programme Management: Corporate Services,2018,Main appropriation,15751000.0
Eastern Cape,Office Of The Premier,Administration,Programme Management: Corporate Services,2019,Medium Term Estimates,16833000.0
Eastern Cape,Office Of The Premier,Administration,Programme Management: Corporate Services,2020,Medium Term Estimates,17845215.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Human Resource Management & Development,2018,Main appropriation,47533000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Human Resource Management & Development,2019,Medium Term Estimates,39933000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Human Resource Management & Development,2020,Medium Term Estimates,39263270.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Programme Management: Institutional Development Support & Integrity Management,2018,Main appropriation,8510000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Programme Management: Institutional Development Support & Integrity Management,2019,Medium Term Estimates,9204000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Programme Management: Institutional Development Support & Integrity Management,2020,Medium Term Estimates,9710220.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial Communications Services,2018,Main appropriation,17401000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial Communications Services,2019,Medium Term Estimates,17446000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial Communications Services,2020,Medium Term Estimates,18579990.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial ICT,2018,Main appropriation,92496000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial ICT,2019,Medium Term Estimates,81393000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial ICT,2020,Medium Term Estimates,86676185.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial Integrity Management,2018,Main appropriation,8408000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial Integrity Management,2019,Medium Term Estimates,9077000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial Integrity Management,2020,Medium Term Estimates,9667005.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial State Law Advisory Services,2018,Main appropriation,12840000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial State Law Advisory Services,2019,Medium Term Estimates,12900000.0
Eastern Cape,Office Of The Premier,Institutional Development and Organisational Support,Provincial State Law Advisory Services,2020,Medium Term Estimates,13738500.0
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation",IGR &Stakeholder Relations Management,2018,Main appropriation,246372000.0
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation",IGR &Stakeholder Relations Management,2019,Medium Term Estimates,222523375.0
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation",IGR &Stakeholder Relations Management,2020,Medium Term Estimates,146509219.375
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation",Performance Monitoring and Evaluation,2018,Main appropriation,55993000.0
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation",Performance Monitoring and Evaluation,2019,Medium Term Estimates,20335000.0
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation",Performance Monitoring and Evaluation,2020,Medium Term Estimates,21636535.0
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation","Programme Management: Research, Policy Coordination, Monitoring & Evaluation",2018,Main appropriation,22139000.0
Eastern Cape,Office Of The Premier,"Planning, Policy Coordination, Monitoring and Evaluation","Programme Management: Research, Policy Coordination, Monitoring & Evaluation",2019,Medium Term Estimates,30594000.0
