government,department,programme,subprogramme,financial_year,budget_phase,value
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,2018,Main appropriation,193283000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,2019,Medium Term Estimates,292092000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,2020,Medium Term Estimates,384251000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,District Hospital Services,2018,Main appropriation,641624000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,District Hospital Services,2019,Medium Term Estimates,521625000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,District Hospital Services,2020,Medium Term Estimates,535578000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,2018,Main appropriation,0.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,2019,Medium Term Estimates,0.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,2020,Medium Term Estimates,0.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,2018,Main appropriation,68779000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,2019,Medium Term Estimates,25100000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,2020,Medium Term Estimates,0.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,2018,Main appropriation,468385000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,2019,Medium Term Estimates,478079000.0
Eastern Cape,Health,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,2020,Medium Term Estimates,462697000.0
Eastern Cape,Health,Health Sciences and Training,EMS Training College,2018,Main appropriation,18763655.1
Eastern Cape,Health,Health Sciences and Training,EMS Training College,2019,Medium Term Estimates,18493000.0
Eastern Cape,Health,Health Sciences and Training,EMS Training College,2020,Medium Term Estimates,17714000.0
Eastern Cape,Health,Health Sciences and Training,Nursing Training Colleges,2018,Main appropriation,326370825.8
Eastern Cape,Health,Health Sciences and Training,Nursing Training Colleges,2019,Medium Term Estimates,348989000.0
Eastern Cape,Health,Health Sciences and Training,Nursing Training Colleges,2020,Medium Term Estimates,371685000.0
Eastern Cape,Health,Health Sciences and Training,Other Training,2018,Main appropriation,364512000.0
Eastern Cape,Health,Health Sciences and Training,Other Training,2019,Medium Term Estimates,390463000.0
Eastern Cape,Health,Health Sciences and Training,Other Training,2020,Medium Term Estimates,398907000.0
Eastern Cape,Health,Health Sciences and Training,BURSARIES,2018,Main appropriation,175700000.0
Eastern Cape,Health,Health Sciences and Training,BURSARIES,2019,Medium Term Estimates,185540000.0
Eastern Cape,Health,Health Sciences and Training,BURSARIES,2020,Medium Term Estimates,195545000.0
Eastern Cape,Health,Provincial Hospital Services,General (Regional) Hospitals,2018,Main appropriation,2781424914.0
Eastern Cape,Health,Provincial Hospital Services,General (Regional) Hospitals,2019,Medium Term Estimates,2941434000.0
Eastern Cape,Health,Provincial Hospital Services,General (Regional) Hospitals,2020,Medium Term Estimates,3153060000.0
Eastern Cape,Health,Provincial Hospital Services,Psychiatric Mental Hospitals,2018,Main appropriation,696961413.3000001
Eastern Cape,Health,Provincial Hospital Services,Psychiatric Mental Hospitals,2019,Medium Term Estimates,763748000.0
Eastern Cape,Health,Provincial Hospital Services,Psychiatric Mental Hospitals,2020,Medium Term Estimates,831145000.0
Eastern Cape,Health,Provincial Hospital Services,TB Hospitals,2018,Main appropriation,378748645.5
Eastern Cape,Health,Provincial Hospital Services,TB Hospitals,2019,Medium Term Estimates,395677000.0
Eastern Cape,Health,Provincial Hospital Services,TB Hospitals,2020,Medium Term Estimates,425953000.0
Eastern Cape,Human Settlements,Administration,Corporate Services,2018,Main appropriation,147818000.0
Eastern Cape,Human Settlements,Administration,Corporate Services,2019,Medium Term Estimates,147344000.0
Eastern Cape,Human Settlements,Administration,Corporate Services,2020,Medium Term Estimates,153214200.0
Eastern Cape,Human Settlements,Administration,Office of the MEC,2018,Main appropriation,9134000.0
Eastern Cape,Human Settlements,Administration,Office of the MEC,2019,Medium Term Estimates,9772000.0
Eastern Cape,Human Settlements,Administration,Office of the MEC,2020,Medium Term Estimates,10363000.0
Eastern Cape,Human Settlements,Housing Asset Management,Administration,2018,Main appropriation,2475000.0
Eastern Cape,Human Settlements,Housing Asset Management,Administration,2019,Medium Term Estimates,2656000.0
